Round,Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
Group stage,5,Wed,2019-11-27,21:00 (15:00),RB Leipzig de,3.2,2–2,0.7,pt Benfica,38339,Red Bull Arena,Jesús Gil,Match Report,
Group stage,5,Wed,2019-11-27,21:00 (15:00),Barcelona es,2.4,3–1,1.0,de Dortmund,90071,Camp Nou,Clément Turpin,Match Report,
,,,,,,,,,,,,,,
Group stage,6,Tue,2019-12-10,18:55 (12:55),Napoli it,3.2,4–0,1.7,be Genk,22265,Stadio San Paolo,Cüneyt Çakιr,Match Report,
Group stage,6,Tue,2019-12-10,18:55 (12:55),RB Salzburg at,1.0,0–2,3.3,eng Liverpool,29520,Red Bull Arena,Danny Makkelie,Match Report,
Group stage,6,Tue,2019-12-10,20:00 (15:00),Benfica pt,2.5,3–0,0.2,ru Zenit,40232,Estádio do Sport Lisboa e Benfica,Antonio Matéu Lahoz,Match Report,
Group stage,6,Tue,2019-12-10,20:00 (15:00),Chelsea eng,2.6,2–1,0.4,fr Lille,40016,Stamford Bridge,Anastasios Sidiropoulos,Match Report,
Group stage,6,Tue,2019-12-10,21:00 (15:00),Inter it,1.0,1–2,1.2,es Barcelona,71818,Stadio Giuseppe Meazza,Björn Kuipers,Match Report,
Group stage,6,Tue,2019-12-10,21:00 (15:00),Lyon fr,0.8,2–2,3.0,de RB Leipzig,53288,Groupama Stadium,Anthony Taylor,Match Report,
Group stage,6,Tue,2019-12-10,21:00 (15:00),Ajax nl,1.0,0–1,0.7,es Valencia,51931,Johan Cruyff ArenA,Clément Turpin,Match Report,
Group stage,6,Tue,2019-12-10,21:00 (15:00),Dortmund de,2.1,2–1,1.7,cz Slavia Prague,65079,Signal Iduna Park,Sergey Karasev,Match Report,
Group stage,6,Wed,2019-12-11,18:55 (12:55),Dinamo Zagreb hr,0.3,1–4,2.4,eng Manchester City,29385,Stadion Maksimir,Carlos del Cerro,Match Report,
Group stage,6,Wed,2019-12-11,19:55 (12:55),Shakhtar ua,0.5,0–3,2.8,it Atalanta,26536,Oblasny SportKomplex Metalist,Felix Zwayer,Match Report,
Group stage,6,Wed,2019-12-11,21:00 (15:00),Paris S-G fr,4.0,5–0,0.3,tr Galatasaray,46509,Parc des Princes,István Kovács,Match Report,
Group stage,6,Wed,2019-12-11,21:00 (15:00),Bayern Munich de,3.2,3–1,1.0,eng Tottenham,66353,Allianz Arena,Gianluca Rocchi,Match Report,
Group stage,6,Wed,2019-12-11,21:00 (15:00),Atlético Madrid es,2.7,2–0,0.0,ru Loko Moscow,58426,Estadio Wanda Metropolitano,Viktor Kassai,Match Report,
Group stage,6,Wed,2019-12-11,21:00 (15:00),Leverkusen de,0.8,0–2,1.1,it Juventus,29542,BayArena,Benoît Bastien,Match Report,
Group stage,6,Wed,2019-12-11,21:00 (15:00),Club Brugge be,1.1,1–3,1.3,es Real Madrid,27308,Jan Breydelstadion,Tobias Stieler,Match Report,
Group stage,6,Wed,2019-12-11,22:00 (15:00),Olympiacos gr,3.3,1–0,1.2,rs Red Star,31898,Stadio Georgios Karaiskáki,Daniele Orsato,Match Report,
,,,,,,,,,,,,,,
Round of 16,,Tue,2020-02-18,21:00 (15:00),Dortmund de,1.2,2–1,1.4,fr Paris S-G,66099,Signal Iduna Park,Antonio Matéu Lahoz,Match Report,Leg 1 of 2
Round of 16,,Tue,2020-02-18,21:00 (15:00),Atlético Madrid es,0.8,1–0,0.5,eng Liverpool,67443,Estadio Wanda Metropolitano,Szymon Marciniak,Match Report,Leg 1 of 2
Round of 16,,Wed,2020-02-19,20:00 (15:00),Tottenham eng,0.8,0–1,1.9,de RB Leipzig,60095,Tottenham Hotspur Stadium,Cüneyt Çakιr,Match Report,Leg 1 of 2
Round of 16,,Wed,2020-02-19,21:00 (15:00),Atalanta it,1.4,4–1,2.0,es Valencia,44236,Stadio Giuseppe Meazza,Michael Oliver,Match Report,Leg 1 of 2
Round of 16,,Tue,2020-02-25,20:00 (15:00),Chelsea eng,0.6,0–3,3.3,de Bayern Munich,36761,Stamford Bridge,Clément Turpin,Match Report,Leg 1 of 2
Round of 16,,Tue,2020-02-25,21:00 (15:00),Napoli it,0.7,1–1,1.0,es Barcelona,44388,Stadio San Paolo,Felix Brych,Match Report,Leg 1 of 2
Round of 16,,Wed,2020-02-26,21:00 (15:00),Real Madrid es,1.0,1–2,2.3,eng Manchester City,75615,Estadio Santiago Bernabéu,Daniele Orsato,Match Report,Leg 1 of 2
Round of 16,,Wed,2020-02-26,21:00 (15:00),Lyon fr,0.8,1–0,0.7,it Juventus,57335,Groupama Stadium,Jesús Gil,Match Report,Leg 1 of 2
Round of 16,,Tue,2020-03-10,21:00 (16:00),Valencia es,2.1,3–4,2.3,it Atalanta,,Estadio de Mestalla,Ovidiu Hațegan,Match Report,Leg 2 of 2; Atalanta won
Round of 16,,Tue,2020-03-10,21:00 (16:00),RB Leipzig de,0.8,3–0,0.3,eng Tottenham,42146,Red Bull Arena,Carlos del Cerro,Match Report,Leg 2 of 2; RB Leipzig won
Round of 16,,Wed,2020-03-11,20:00 (16:00),Liverpool eng,2.8,2–3,0.9,es Atlético Madrid,52267,Anfield,Danny Makkelie,Match Report,Leg 2 of 2; Atlético Madrid won; Required Extra Time
Round of 16,,Wed,2020-03-11,21:00 (16:00),Paris S-G fr,1.1,2–0,0.3,de Dortmund,,Parc des Princes,Anthony Taylor,Match Report,Leg 2 of 2; Paris S-G won
